term,Category,Freq,Term,Total,loglift,logprob
1425,Topic2,0.5672099925316985,선수단,0.5672099925316983,1.0,0.0058928541388762285
2578,Topic2,0.5621790773941221,차지,0.7044121655177861,0.9521973434755753,0.0058405869900580686
1469,Topic2,0.5550829142757077,세계,1.919965468482577,0.6720852800925203,0.005766863581174097
1540,Topic2,0.5134166440548854,수영,0.5134166440548853,1.0,0.005333984654224331
429,Topic2,0.5,국립중앙도서관,0.5799360766977432,0.9692525651813267,0.0051945965484263825
923,Topic2,0.4999999999999999,모음,0.5,1.0,0.0051945965484263825
2974,Topic2,0.49761460166354765,한국,3.583504599014421,0.4483272299169637,0.005169814184496068
2714,Topic2,0.4887256572743145,출전,0.4887256572743143,1.0,0.0050774652248091355
844,Topic2,0.48269996205915106,리그,0.4826999620591512,1.0,0.005014863113676027
794,Topic2,0.4755499168745311,동메달,0.47554991687453085,1.0,0.0049405799136017815
2551,Topic2,0.4725553818910403,진출,0.5115988223631919,0.9838700795390263,0.004909469111423017
88,Topic2,0.46802233594992315,7월,1.3565570300838359,0.7263694945169062,0.004862374421823846
1585,Topic2,0.46224505483864475,스포츠,0.8587865260481424,0.8545387811051902,0.0048023531327839744
2136,Topic2,0.45267873021259275,인천,0.45267873021259264,1.0,0.004702966739016743
111,Topic2,0.43069563568564484,kr,6.4296736949902975,0.2656892477526816,0.004474580125109914
1203,Topic2,0.42778317754250333,북한,4.833037621914957,0.32858342725005724,0.004444322035074318
423,Topic2,0.42375564362564966,국내,1.714361345342876,0.6233115173966811,0.0044024792075079994
93,Topic2,0.4229236399692872,9월,1.4458987599832474,0.6756953651160558,0.004393835360864766
2105,Topic2,0.41678900747571435,이후,1.8479971956815011,0.5947516155600403,0.004330101479310807
3164,Topic2,0.4148486802668482,획득,0.5489032073893301,0.939743981598805,0.004309943045266819
814,Topic2,0.3994738560674459,득점,0.45673368949883286,0.9723445327219689,0.004150211027829063
138,Topic2,0.39781960546803447,가족,0.6488577480152646,0.8887198922811731,0.004133024698921196
1478,Topic2,0.3889822365046136,세미나,0.3889822365046136,1.0,0.004041211566292082
111,Topic3,3.3944259302371598,kr,6.4296736949902975,0.5673662500726904,0.01268606910587663
2341,Topic3,2.9213665618986875,정부,3.997833581685328,0.7609034480973779,0.010918093029431529
1268,Topic3,1.579966553250822,사건,1.8024892943180981,0.8927746562840239,0.005904846737401997
1917,Topic3,1.4133518302169203,운동,1.4337557448794398,0.9878387461023618,0.005282153553368699
434,Topic3,1.369145802917627,국민,1.9405754840704212,0.7375111892841212,0.005116941311669875
1125,Topic3,1.29856542020151,변화,1.3189693348640295,0.9867779682597471,0.004853159561512984
2822,Topic3,1.2549539762001098,투표,1.8933136685807548,0.6974584224067184,0.004690169470175164
